G,variable,value
40.0,FG,0.5
39.0,FG,0.25
38.0,FG,0.275
37.0,FG,0.425
36.0,FG,0.3
35.0,FG,0.575
34.0,FG,0.35
33.0,FG,0.425
32.0,FG,0.325
31.0,FG,0.35
30.0,FG,0.3
29.0,FG,0.375
28.0,FG,0.375
27.0,FG,0.35
26.0,FG,0.35
25.0,FG,0.5
24.0,FG,0.425
23.0,FG,0.325
22.0,FG,0.4
21.0,FG,0.325
20.0,FG,0.7
19.0,FG,0.425
18.0,FG,0.3
17.0,FG,0.4
16.0,FG,0.4
15.0,FG,0.275
14.0,FG,0.25
13.0,FG,0.575
12.0,FG,0.275
11.0,FG,0.275
10.0,FG,0.35
