,date,reading,warning
515,2019-04-26 21:00:00,142, Unhealthy for Sensitive Groups
516,2019-04-26 22:00:00,155, Unhealthy
517,2019-04-26 23:00:00,160, Unhealthy
518,2019-04-27 00:01:00,160, Unhealthy
519,2019-04-27 01:01:00,156, Unhealthy
520,2019-04-27 02:01:00,152, Unhealthy
521,2019-04-27 03:01:00,141, Unhealthy for Sensitive Groups
522,2019-04-27 04:01:00,119, Unhealthy for Sensitive Groups
523,2019-04-27 05:01:00,107, Unhealthy for Sensitive Groups
524,2019-04-27 06:01:00,96, Moderate
525,2019-04-27 07:01:00,97, Moderate
526,2019-04-27 08:01:00,99, Moderate
527,2019-04-27 09:01:00,103, Unhealthy for Sensitive Groups
528,2019-04-27 10:01:00,108, Unhealthy for Sensitive Groups
529,2019-04-27 11:01:00,143, Unhealthy for Sensitive Groups
530,2019-04-27 12:00:00,109, Unhealthy for Sensitive Groups
531,2019-04-27 13:01:00,87, Moderate
532,2019-04-27 14:00:00,77, Moderate
533,2019-04-27 15:01:00,71, Moderate
534,2019-04-27 16:01:00,67, Moderate
535,2019-04-27 17:01:00,71, Moderate
536,2019-04-27 18:01:00,70, Moderate
537,2019-04-27 19:01:00,72, Moderate
538,2019-04-27 20:01:00,79, Moderate
539,2019-04-27 21:01:00,94, Moderate
540,2019-04-27 22:00:00,141, Unhealthy for Sensitive Groups
541,2019-04-27 23:00:00,148, Unhealthy for Sensitive Groups
542,2019-04-28 00:01:00,140, Unhealthy for Sensitive Groups
543,2019-04-28 01:00:00,128, Unhealthy for Sensitive Groups
544,2019-04-28 02:01:00,112, Unhealthy for Sensitive Groups
545,2019-04-28 03:01:00,109, Unhealthy for Sensitive Groups
546,2019-04-28 04:01:00,106, Unhealthy for Sensitive Groups
547,2019-04-28 05:01:00,103, Unhealthy for Sensitive Groups
548,2019-04-28 06:01:00,99, Moderate
549,2019-04-28 07:01:00,98, Moderate
550,2019-04-28 08:01:00,93, Moderate
551,2019-04-28 09:01:00,89, Moderate
552,2019-04-28 10:01:00,78, Moderate
553,2019-04-28 11:01:00,82, Moderate
554,2019-04-28 12:01:00,84, Moderate
555,2019-04-28 13:01:00,72, Moderate
556,2019-04-28 14:00:00,61, Moderate
557,2019-04-28 15:01:00,64, Moderate
558,2019-04-28 16:01:00,67, Moderate
559,2019-04-28 17:01:00,65, Moderate
560,2019-04-28 18:01:00,63, Moderate
561,2019-04-28 19:01:00,66, Moderate
562,2019-04-28 20:01:00,71, Moderate
563,2019-04-28 21:01:00,69, Moderate
564,2019-04-28 22:00:00,65, Moderate
565,2019-04-28 23:01:00,74, Moderate
566,2019-04-29 00:00:00,71, Moderate
567,2019-04-29 01:01:00,70, Moderate
568,2019-04-29 02:00:00,64, Moderate
569,2019-04-29 03:01:00,68, Moderate
570,2019-04-29 04:01:00,56, Moderate
571,2019-04-29 05:01:00,54, Moderate
572,2019-04-29 06:01:00,51, Moderate
573,2019-04-29 07:01:00,53, Moderate
574,2019-04-29 08:01:00,66, Moderate
575,2019-04-29 09:01:00,80, Moderate
576,2019-04-29 10:01:00,83, Moderate
577,2019-04-29 11:01:00,84, Moderate
578,2019-04-29 12:01:00,84, Moderate
579,2019-04-29 13:01:00,113, Unhealthy for Sensitive Groups
580,2019-04-29 14:01:00,87, Moderate
581,2019-04-29 15:01:00,77, Moderate
582,2019-04-29 16:01:00,67, Moderate
583,2019-04-29 17:01:00,61, Moderate
584,2019-04-29 18:01:00,62, Moderate
585,2019-04-29 19:01:00,59, Moderate
586,2019-04-29 20:01:00,70, Moderate
587,2019-04-29 21:01:00,84, Moderate
588,2019-04-29 22:00:00,77, Moderate
589,2019-04-29 23:00:00,67, Moderate
590,2019-04-30 00:00:00,51, Moderate
591,2019-04-30 01:01:00,36, Good
592,2019-04-30 02:00:00,26, Good
593,2019-04-30 03:01:00,19, Good
594,2019-04-30 04:01:00,22, Good
595,2019-04-30 05:01:00,25, Good
596,2019-04-30 06:01:00,21, Good
597,2019-04-30 07:01:00,19, Good
598,2019-04-30 08:01:00,22, Good
599,2019-04-30 09:01:00,48, Good
600,2019-04-30 10:01:00,61, Moderate
601,2019-04-30 11:01:00,76, Moderate
602,2019-04-30 12:01:00,72, Moderate
603,2019-04-30 13:01:00,65, Moderate
604,2019-04-30 14:01:00,63, Moderate
605,2019-04-30 15:01:00,55, Moderate
606,2019-04-30 16:01:00,56, Moderate
