Name,Team,Number,Year
Larry Foust,FTW,16,1952
Bob Harrison,MNL,16,1952
Red Holzman,ROC,16,1952
Walt Kirk,MLH,16,1952
John Mahnken,BOS,16,1952
Alfred McGuire,NYK,16,1952
Red Rocha,SYR,16,1952
Wah Wah,INO,17,1952
George Kaftan,NYK,17,1952
Bones McKinney,BOS,17,1952
Dick Mehen,MLH,17,1952
Wally Osterkorn,SYR,17,1952
Don Otten,FTW,17,1952
Jim Pollard,MNL,17,1952
Don Boven,MLH,18,1952
Bob Brannum,BOS,18,1952
Dike Eddleman,MLH,18,1952
Don Lofgran,INO,18,1952
Mel Payton,PHW,18,1952
John Pilch,MNL,18,1952
Ray Ragelis,ROC,18,1952
Pep Saul,MNL,18,1952
Chuck Share,FTW,18,1952
Connie Simmons,NYK,18,1952
Walt Budko,PHW,19,1952
Joe Graboski,INO,19,1952
Vern Mikkelsen,MNL,19,1952
Herb Scherer,NYK,19,1952
Leo Barnhorst,INO,20,1952
Cal Christensen,MLH,20,1952
Dillard Crocker,MLH,20,1952
Alex Hannum,ROC,20,1952
Joe McNamee,ROC,20,1952
Fred Scolari,BLB,20,1952
Whitey Skoog,MNL,20,1952
Charlie Black,MLH,21,1952
Nate DeLong,MLH,21,1952
Bill Sharman,BOS,21,1952
Mel Hutchins,MLH,22,1952
Ed Macauley,BOS,22,1952
Slater Martin,MNL,22,1952
Herb Scherer,NYK,22,1952
Dick Dickey,BOS,23,1952
,,24,1952
,,25,1952
,,26,1952
,,27,1952
,,28,1952
,,29,1952
,,30,1952
,,31,1952
,,32,1952
Kevin O'Shea,BLB,33,1952
Pep Saul,BLB,33,1952
,,34,1952
,,35,1952
,,36,1952
,,37,1952
,,38,1952
,,39,1952
,,40,1952
,,41,1952
,,42,1952
,,43,1952
,,44,1952
,,45,1952
,,46,1952
,,47,1952
,,48,1952
,,49,1952
,,50,1952
,,51,1952
,,52,1952
,,53,1952
,,54,1952
,,55,1952
,,56,1952
,,57,1952
,,58,1952
,,59,1952
,,60,1952
,,61,1952
,,62,1952
,,63,1952
,,64,1952
,,65,1952
,,66,1952
